YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in $","PRODUCTION in TONS","YIELD in TONS / ACRE"
2020,DELAWARE,10,"  ","   ",YEAR,CORN,IRRIGATED," "," "," ","88,400"," "," "," "
2020,DELAWARE,10,"  ","   ",YEAR,CORN,NON-IRRIGATED," "," "," ","91,600"," "," "," "
2020,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","100,000"," "," "," "
2020,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","420,000"," "," "," "
2020,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","390,000"," "," "," "
2020,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","11,300,000"," "," "," "
2020,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","5,400,000"," "," "," "
2020,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,600,000"," "," "," "
2020,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","6,100,000"," "," "," "
2020,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,470,000"," "," "," "
2020,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","500,000"," "," "," "
2021,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","355,000"," "," "," "
2021,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","95,000"," "," "," "
2021,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","850,000"," "," "," "
2021,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","420,000"," "," "," "
2021,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,380,000"," "," "," "
2021,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","24,000"," "," "," "
2021,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","175,000"," "," "," "
2021,DELAWARE,10,"  ","   ",YEAR,CORN,IRRIGATED," "," "," ","84,800"," "," "," "
2021,DELAWARE,10,"  ","   ",YEAR,CORN,NON-IRRIGATED," "," "," ","90,200"," "," "," "
2021,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","95,000"," "," "," "
2021,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","480,000"," "," "," "
2021,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","380,000"," "," "," "
2021,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","11,000,000"," "," "," "
2021,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","5,400,000"," "," "," "
2021,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,900,000"," "," "," "
2021,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","5,700,000"," "," "," "
2021,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,550,000"," "," "," "
2021,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","580,000"," "," "," "
2022,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","300,000"," "," "," "
2022,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","85,000"," "," "," "
2022,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","710,000"," "," "," "
2022,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","370,000"," "," "," "
2022,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,350,000"," "," "," "
2022,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","25,000"," "," "," "
2022,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","170,000"," "," "," "
2022,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","85,000"," "," "," "
2022,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","425,000"," "," "," "
2022,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","320,000"," "," "," "
2022,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,800,000"," "," "," "
2022,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","5,200,000"," "," "," "
2022,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,900,000"," "," "," "
2022,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","5,500,000"," "," "," "
2022,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,440,000"," "," "," "
2022,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","450,000"," "," "," "
1950,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,443,000","52,524,000",21.5," ","77,736,000"," "," "
1950,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","25,000","375,000",15," ","765,000"," "," "
1950,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,337,000","31,420,000",23.5," ","44,616,000"," "," "
1950,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","42,000","1,806,000",43," ","3,377,000"," "," "
1950,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","343,000","8,404,000",24.5," ","13,446,000"," "," "
1950,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","6,000","282,000",47," ","539,000"," "," "
1950,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","133,000","6,916,000",52," ","11,688,000"," "," "
1950,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","347,000","4,858,000",14," ","7,238,000"," "," "
1950,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,556,000","42,174,000",16.5," ","64,104,000"," "," "
1950,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,000","642,000",53.5," ","1,021,000"," "," "
1950,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,008,000","408,408,000",51," ","649,369,000"," "," "
1950,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,227,000","205,010,000",48.5," ","325,966,000"," "," "
1950,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,396,000","455,706,000",48.5," ","692,673,000"," "," "
1950,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,442,000","85,470,000",35," ","122,222,000"," "," "
1950,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,080,000","76,960,000",37," ","127,754,000"," "," "
1950,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","776,000","15,520,000",20," ","22,659,000"," "," "
1951,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,281,000","43,339,000",19," ","76,710,000"," "," "
1951,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","25,000","262,000",10.5," ","626,000"," "," "
1951,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","955,000","22,442,000",23.5," ","38,151,000"," "," "
1951,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","30,000","1,410,000",47," ","3,060,000"," "," "
1951,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","340,000","9,350,000",27.5," ","17,204,000"," "," "
1951,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","6,000","288,000",48," ","608,000"," "," "
1951,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","154,000","7,238,000",47," ","13,173,000"," "," "
1951,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","361,000","6,318,000",17.5," ","10,172,000"," "," "
1951,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,454,000","41,718,000",17," ","71,755,000"," "," "
1951,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,000","666,000",55.5," ","1,265,000"," "," "
1951,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,483,000","466,565,000",55," ","793,161,000"," "," "
1951,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,396,000","232,988,000",53," ","391,420,000"," "," "
1951,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,680,000","421,080,000",43.5," ","677,939,000"," "," "
1951,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,187,000","52,488,000",24," ","90,804,000"," "," "
1951,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,104,000","78,900,000",37.5," ","141,231,000"," "," "
1951,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","666,000","14,652,000",22," ","24,176,000"," "," "
1952,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,179,000","23,969,000",11," ","45,301,000"," "," "
1952,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","28,000","350,000",12.5," ","704,000"," "," "
1952,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","827,000","12,405,000",15," ","21,461,000"," "," "
1952,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","39,000","1,872,000",48," ","3,650,000"," "," "
1952,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","212,000","5,512,000",26," ","8,985,000"," "," "
1952,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","5,000","220,000",44," ","414,000"," "," "
1952,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","174,000","8,526,000",49," ","13,215,000"," "," "
1952,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","375,000","5,812,000",15.5," ","10,229,000"," "," "
1952,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,282,000","29,666,000",13," ","53,992,000"," "," "
1952,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,000","696,000",58," ","1,288,000"," "," "
1952,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,728,000","506,224,000",58," ","769,460,000"," "," "
1952,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,458,000","222,900,000",50," ","334,350,000"," "," "
1952,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,449,000","653,062,000",62.5," ","979,593,000"," "," "
1952,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,986,000","44,685,000",22.5," ","68,368,000"," "," "
1952,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,003,000","56,084,000",28," ","93,660,000"," "," "
1952,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","593,000","11,267,000",19," ","20,168,000"," "," "
1953,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,040,000","44,880,000",22," ","69,564,000"," "," "
1953,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","27,000","405,000",15," ","798,000"," "," "
1953,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","637,000","10,829,000",17," ","16,027,000"," "," "
1953,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","37,000","1,702,000",46," ","3,132,000"," "," "
1953,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","237,000","7,110,000",30," ","11,092,000"," "," "
1953,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,000","200,000",50," ","370,000"," "," "
1953,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","160,000","8,320,000",52," ","12,730,000"," "," "
1953,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","330,000","5,940,000",18," ","8,851,000"," "," "
1953,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,328,000","50,052,000",21.5," ","74,077,000"," "," "
1953,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,000","722,000",55.5," ","1,141,000"," "," "
1953,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,002,000","486,108,000",54," ","724,301,000"," "," "
1953,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,562,000","234,943,000",51.5," ","340,667,000"," "," "
1953,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,811,000","572,983,000",53," ","859,475,000"," "," "
1953,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,774,000","39,028,000",22," ","57,761,000"," "," "
1953,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,894,000","67,237,000",35.5," ","100,856,000"," "," "
1953,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","500,000","9,500,000",19," ","14,820,000"," "," "
1954,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,121,000","27,573,000",13," ","43,290,000"," "," "
1954,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","28,000","448,000",16," ","851,000"," "," "
1954,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","573,000","6,590,000",11.5," ","9,753,000"," "," "
1954,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","103,000","5,871,000",57," ","10,803,000"," "," "
1954,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","219,000","5,913,000",27," ","9,343,000"," "," "
1954,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,000","208,000",52," ","366,000"," "," "
1954,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","164,000","6,068,000",37," ","8,920,000"," "," "
1954,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","346,000","5,882,000",17," ","8,882,000"," "," "
1954,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,188,000","26,256,000",12," ","42,272,000"," "," "
1954,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","14,000","854,000",61," ","1,452,000"," "," "
1954,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,699,000","439,300,000",50.5," ","632,592,000"," "," "
1954,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,665,000","258,908,000",55.5," ","354,704,000"," "," "
1954,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,014,000","545,763,000",54.5," ","791,356,000"," "," "
1954,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,349,000","32,376,000",24," ","47,916,000"," "," "
1954,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,976,000","61,256,000",31," ","89,434,000"," "," "
1954,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","575,000","11,500,000",20," ","16,445,000"," "," "
1955,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,030,000","58,870,000",29," ","67,700,000"," "," "
1955,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","40,000","1,000,000",25," ","1,580,000"," "," "
1955,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","630,000","18,900,000",30," ","21,357,000"," "," "
1955,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","184,000","12,144,000",66," ","19,066,000"," "," "
1955,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","237,000","7,584,000",32," ","10,769,000"," "," "
1955,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,000","188,000",47," ","305,000"," "," "
1955,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","162,000","5,832,000",36," ","7,640,000"," "," "
1955,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","353,000","7,060,000",20," ","7,907,000"," "," "
1955,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,197,000","52,728,000",24," ","61,164,000"," "," "
1955,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","15,000","930,000",62," ","1,525,000"," "," "
1955,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,885,000","497,560,000",56," ","686,633,000"," "," "
1955,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,798,000","268,688,000",56," ","354,668,000"," "," "
1955,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,293,000","499,210,000",48.5," ","718,862,000"," "," "
1955,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,039,000","24,936,000",24," ","34,661,000"," "," "
1955,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,876,000","76,916,000",41," ","99,991,000"," "," "
1955,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","569,000","16,501,000",29," ","17,491,000"," "," "
1956,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,989,000","47,736,000",24," ","57,761,000"," "," "
1956,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","35,000","1,050,000",30," ","1,848,000"," "," "
1956,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","646,000","17,442,000",27," ","21,454,000"," "," "
1956,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","173,000","12,456,000",72," ","20,428,000"," "," "
1956,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","204,000","8,568,000",42," ","12,252,000"," "," "
1956,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,000","228,000",57," ","372,000"," "," "
1956,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","144,000","8,928,000",62," ","11,785,000"," "," "
1956,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","333,000","6,993,000",21," ","8,182,000"," "," "
1956,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,131,000","51,144,000",24," ","63,419,000"," "," "
1956,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","15,000","1,065,000",71," ","1,651,000"," "," "
1956,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,477,000","576,436,000",68," ","755,131,000"," "," "
1956,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,592,000","284,704,000",62," ","361,574,000"," "," "
1956,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,413,000","503,596,000",53.5," ","659,711,000"," "," "
1956,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","901,000","22,525,000",25," ","30,409,000"," "," "
1956,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,782,000","81,972,000",46," ","108,203,000"," "," "
1956,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","535,000","13,910,000",26," ","17,248,000"," "," "
1957,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,907,000","47,675,000",25," ","59,117,000"," "," "
1957,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","28,000","854,000",30.5," ","1,383,000"," "," "
1957,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","475,000","13,062,000",27.5," ","15,544,000"," "," "
1957,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","216,000","15,984,000",74," ","22,218,000"," "," "
1957,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","296,000","14,356,000",48.5," ","16,222,000"," "," "
1957,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","3,000","171,000",57," ","274,000"," "," "
1957,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","131,000","3,930,000",30," ","5,502,000"," "," "
1957,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","315,000","7,245,000",23," ","8,911,000"," "," "
1957,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,161,000","54,025,000",25," ","69,692,000"," "," "
1957,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","20,000","1,520,000",76," ","2,174,000"," "," "
1957,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","7,894,000","505,216,000",64," ","580,998,000"," "," "
1957,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,222,000","249,098,000",59," ","276,499,000"," "," "
1957,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,860,000","611,320,000",62," ","641,886,000"," "," "
1957,KANSAS,20,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,206,000","36,180,000",30," ","40,883,000"," "," "
1957,KENTUCKY,21,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,459,000","59,819,000",41," ","77,167,000"," "," "
1957,LOUISIANA,22,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","471,000","10,362,000",22," ","13,471,000"," "," "
1958,ALABAMA,01,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,794,000","55,614,000",31," ","66,181,000"," "," "
1958,ARIZONA,04,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","24,000","576,000",24," ","841,000"," "," "
1958,ARKANSAS,05,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","422,000","13,082,000",31," ","15,044,000"," "," "
1958,CALIFORNIA,06,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","176,000","12,320,000",70," ","17,494,000"," "," "
1958,COLORADO,08,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","348,000","16,530,000",47.5," ","17,852,000"," "," "
1958,CONNECTICUT,09,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","3,000","201,000",67," ","312,000"," "," "
1958,DELAWARE,10,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","126,000","7,812,000",62," ","10,234,000"," "," "
1958,FLORIDA,12,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","317,000","7,925,000",25," ","9,589,000"," "," "
1958,GEORGIA,13,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,109,000","63,270,000",30," ","77,822,000"," "," "
1958,IDAHO,16,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","22,000","1,595,000",72.5," ","2,042,000"," "," "
1958,ILLINOIS,17,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,244,000","568,836,000",69," ","642,785,000"," "," "
1958,INDIANA,18,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,291,000","270,333,000",63," ","300,070,000"," "," "
